Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,IDA & IBRD total,IBT,344257550559.094,333250755690.973,348884027885.15,375280106954.11,417387020410.646,458658605201.72,475657595705.415,488149699910.501,515645872406.138,576804127255.658,632633043119.289,683411797180.188,761913898705.758,967422023142.298,1229843525786.05,1344627482582.47,1457239979875.58,1643640200449.26,1783305568389.28,2129000505936.08,2510878450328.88,2836268206621.61,2792466300352.01,2690111224084.54,2715070755327.96,2858185207520.57,2954919547345.41,3032395989169.09,3260464607274.38,3367776131658.31,3833149423597,4093361168070.71,4061160885022.36,4318429648415.15,4675982723991.82,5245086979245.86,5734398528967,6062797769099.98,5912726360204.14,5761171179367.59,6262883219025.32,6344383265132.8,6472128302082.94,7286000530606.81,8661333452158.53,10337638855173.1,12287736371563,15211185830550.2,18259985843199.5,17729548726191.6,21461874856001.9,25296884485456.3,26921183892263.3,28525224384289.9,29544590603483.9,27965368556744.5,28076581427309.5,30812557265316.1,32694405644269.9,..
GDP (current US$),NY.GDP.MKTP.CD,IDA blend,IDB,12276346523.6472,13116425056.4675,14016894562.7006,14825026741.5839,16205156533.6622,17630292014.7718,19127748634.5588,19260006454.4896,20467426305.957,23346392311.3544,32099046139.3827,29727368744.1579,33268313196.8042,35464839050.9588,51435151096.094,59204100872.3816,71834819283.3746,75285530908.1368,81613035178.8327,100418618112.677,129045178980.497,249346444903.955,228165899089.041,173993281613.994,149068540235.268,148837527666.759,134233976865.835,137968545560.622,142904259730.761,138139767416.139,149358224377.439,151403738595.172,149657282421.775,133152326569.423,137031694577.313,158227141285.327,174905097306.541,179226444683.071,175946957342.98,183402333849.611,200554559126.69,201330057728.063,222642338140.889,250053307886.17,306064550857.364,367264312069.833,473935836465.33,547458218815.534,651561526724.283,608660008356.483,717963085057.526,831777884869.501,915790410292.783,994368235291.833,1079006729324.5,1024969577827.58,949705911350.123,942371419322.29,993777987034.123,..
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,26691452398.8035,27988594146.1269,30317728020.1912,35222226975.0605,32538431131.4079,37687950583.6632,40826637004.7503,41349896647.304,43354778157.3529,48560911183.479,50357192186.9563,53572307552.7268,53239419778.6049,64394141271.4872,82991565481.4152,102473042552.756,94811139067.9048,106499997405.142,125513471820.56,139211319496.566,151319531995.598,154362285378.217,153623696940.167,147971559031.155,148357809789.518,157285869251.938,169168321047.28,184001247542.969,186149308686.784,183958029827.49,193766637123.837,196608864519.196,184745732785.022,186500385424.163,171898820326.008,196304279071.666,214514221837.411,224966433606.617,234144020666.154,236791833037.738,258137157083.57,253105603378.534,266776815849.083,300508489763.467,340627035619.358,384739075079.566,445113456111.901,531219302714.383,644265856735.026,661717248689.292,750777944926.932,841189262208.926,891798023396.251,992627347683.412,1061454687807.41,1075043581044.47,1113591405725.41,1231687458634.82,1235803659778.1,..
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,38086918428.4806,40205993650.8977,43341430344.7408,48745560832.9504,47795309463.3779,54104462912.8321,58642478174.2681,59269862027.6218,62442732588.2623,70401504980.7167,81635609650.8521,82018275095.1324,85575370023.1939,98294233901.1626,132934432888.256,159414629272.39,166211753886.275,180772010364.263,205226806426.543,238504324578.724,281099879697.901,415906132639.336,392155952135.495,327908450345.171,301144983646.843,309323833935.103,304760310656.276,322868229044.83,330201941875.41,323070559026.135,344352108822.601,349247381656.34,336005441146.585,320226597343.21,310164962926.601,356026961658.769,391164754261.761,405789892684.355,411164539037.238,421583625747.638,460240862698.857,456092067744.516,491469446524.991,552856157219.014,649756120002.979,755906826866.109,924570547715.425,1084894597002.51,1302613412627.59,1274418612530.45,1474650692055.58,1680911486800.38,1817711684334.54,1997013387667.03,2151908237642.15,2108430749123.54,2066071129895.94,2171391725106.92,2229466987792.26,..
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,185994645190.433,171750252790.009,180189421753.79,195293290608.461,215435929157.397,240291531687.862,266806024973.222,269524397566.337,275133780264.745,307465544660.322,349292878134.625,388914747280.695,446298893270.69,567027731523.473,667784198983.601,733834558348.85,800670265154.181,929424091463.991,968371032408.44,1157074765774.28,1311600318871.16,1390315298165.68,1422525019301.61,1314436970534.21,1383905839677.77,1479373592262.05,1573380242291.54,1658431101726.51,1827000646675.69,1935945693585.95,2066008771973.98,2261157211567.77,2094903968095.62,2175210323377.99,2475973105551.71,3017496595785.48,3326640414542.28,3482509185814.61,3352632300539.47,3097584524512.96,3402271202681.1,3516240823027.31,3724851807792.74,4245183478931.11,5104714446175.13,6163031387344.66,7438038524835.76,9371493094252.89,11651064462161.7,11260132574722.9,13505549757437,16463096244928,17609916860216.5,18983545960803.6,19663548252466.3,18424195290218.2,18424530953922.9,20366909413376.4,22183244483370.7,..
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,81613512173.2962,86410123261.2544,98841377562.7098,99753020962.4302,111163177452.628,118508162782.919,129979740470.051,133404266494.102,143683608725.644,160904673438.931,175173221305.067,195729295343.96,219868402847.468,287969863456.548,374252112967.848,391900172714.009,435379019966.399,478516887550.767,543267986040.645,647684274458.098,780043676390.441,899508176436.739,839161271154.51,739675614902.743,746856512051.21,769300976861.68,774912453900.762,818039047875.162,922366623616.975,1006884030537.45,1178854551794.14,1449999485263.15,1370553235661.24,1576077164269.45,1801256347073.85,1920756951457.34,2078449836534.74,2278595992508.32,2299256311975.27,2074490029037.21,2288265364997.99,2238818343696.59,2008886361727.06,2052388378957.29,2365337862635.57,2859768992382.86,3352768158651.08,3949514980760.89,4589745942403.89,4313433118006.94,5347667372985.87,6080409915532.87,6143216402387.86,6295116339093.87,6417676166453.66,5521478315864.02,5393582217284.15,5977171229472.71,5800575821179.99,..
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean (excluding high income),LAC,73151522198.0891,76524296012.9825,87601060226.1783,88011983877.5782,98265109426.5106,105186423121.432,115235605561.665,118357736873.132,127912586668.453,142670939455.295,155221663095.508,172342385221.745,194963588263.664,254726951414.244,339398044870.226,364895182445.348,404275059140.21,441276608105.165,500551812253.891,592896655155.104,709829063567.046,819333796367.37,767578184835.544,677040151067.87,682596196178.397,705501097566.392,709019114854.277,744562045205.951,842342053696.665,920288297286.948,1083284342722.61,1344159007550.88,1251699082377.02,1448472425716.53,1658474930972.87,1755356887700.62,1902761231699.3,2085058220918.88,2099481346608.75,1877181244880.78,2082504909038.51,2033378080523.89,1809034867679.52,1841473815178.62,2118651740780.38,2574876160197.21,3022671846353.65,3585498689656.06,4197867438492.29,3933610793780.27,4904594232667.31,5585033646292.74,5621674726635.13,5748602963322.14,5883876277113.12,4999736521493.98,4861575277282.66,5409560569181.04,5204644664482.81,..
GDP (current US$),NY.GDP.MKTP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,76702300593.0354,81094144300.38,92821686022.7066,93431297904.1934,104147009141.822,110869146516.126,121580654082.685,124463782398.919,133892690241.575,149863741595.828,163011231364.133,181593100078.833,203688429810.24,268836681559.035,352617746192.241,368000464919.35,409681860172.456,451146931972.805,510551503261.592,610771982997.136,740165713667.538,857184992628.66,795289945612.643,694249976613.304,697277028696.286,719284878413.568,721577105192.215,761081378671.932,860107764851.641,942462305973.927,1109230328593.34,1381968043645.01,1302679058770.37,1504656051861.09,1719706760223.6,1833465602439.58,1992896686727.12,2186084791601.51,2199438672257.33,1968086400056.61,2174345829486.39,2116177463522.44,1882102202126.91,1919603134568.28,2223087947943.74,2706516592412.75,3182621789333.42,3768884274755.58,4402255123320.29,4123861323736.36,5152595384307.39,5878332685326.44,5935113719876.02,6082260242719.6,6200701563229.59,5293088818763.45,5158626846011.5,5736979458482.13,5559757932431.6,..
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114694085241.463,116173295105.713,115579044554.196,108790053711.289,108227698396.304,120132214310.004,130136384294.723,146548931745.141,151859275907.703,155335344568.413,161838634341.113,162717317883.653,147492905196.858,147044316939.125,136638782045.712,155962865922.353,171850256855.229,181617045315.586,185936309748.496,187831477568.883,212611447480.803,202659457193.751,220116771224.591,249839206358.172,287340390301.532,337477268838.563,395273663329.706,474808454444.877,589194858730.627,588170174980.235,674361620888.105,772709270042.457,829423779275.658,900834714631.005,973459397420.78,962443270171.045,972596714372.748,1091604700643.07,1064640218766.34,..
GDP (current US$),NY.GDP.MKTP.CD,Low & middle income,LMY,330585049200.108,318334125643.363,332200322020.852,357907098280.14,398239770527.764,438810043106.275,454175235836.468,466637151946.799,493398981413.266,551288219163.365,604835257490.205,652311825477.216,729266053580.012,922094612662.513,1178262700485.49,1302755099978.2,1409253062810.52,1584676170826.79,1720219073174.77,2046054359803.64,2401214506107.13,2707891283661.69,2678085479436.7,2591838341896.79,2619260694181.46,2759408928399.68,2854868188360.46,2925153254989.72,3145132513569.82,3244880170555.84,3692554478303.25,3932817462829.09,3887930831490.7,4132177582221.19,4473934689222.9,5009032715360.73,5467628486443.09,5786395124109.35,5620454076342.74,5484850582647.34,5985809227682.77,6055883457084.95,6181155474632.87,6964276572999.12,8269888327986.21,9865691922653.95,11745107818123.9,14553682809041.1,17469963550611.1,17056147614428.6,20698282758550.8,24440264635762.6,26081068804882.1,27641557382996.8,28658067724450.1,27179976720019.3,27292696035924.6,29943347638851.4,31735605407696.8,..
